,상호명,별점,주소,카테고리,이미지,거리
22,양촌리 화곡점,0.0,서울 강서구 화곡로 109,"['육류', '고기요리']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240411_33%2F1712814685305bEnXE_JPEG%2FDSC00392.jpg,694
23,충북식당,4.39,서울 강서구 강서로45가길 9,['한식'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160203_161%2F1454485133306bdfQd_JPEG%2F176153566872314_0.jpg,767
24,남춘네숯불닭갈비 화곡역직영점,0.0,서울 강서구 강서로33길 20 1층 101호,['닭갈비'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230818_132%2F1692344450713sGxuz_JPEG%2FIMG_2740.jpeg,235
25,이현우스시,4.7,서울 강서구 강서로33길 26,"['초밥', '롤']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220214_44%2F16448005261821xRTC_JPEG%2F%25C7%25D1%25BB%25F3%25C2%25F7%25B8%25B201.jpg,264
26,다이닝갈비 화곡점,0.0,서울 강서구 강서로33길 12 2층 다이닝갈비,"['육류', '고기요리']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250418_111%2F1744963597049WYvrd_PNG%2F1000020625.png,200
27,화곡맛있고등어,0.0,서울 강서구 화곡로 138 1층 화곡맛있고등어,['생선구이'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241017_138%2F1729147837289e76gX_JPEG%2F%25B0%25ED%25B5%25EE%25BE%25EE_%25B4%25EB%25B9%25AE%25BB%25E7%25C1%25F8_%25BB%25EC%25C2%25A6_%25C5%25AB%25B0%25C5.jpg,423
28,동래정 화곡점,0.0,서울 강서구 화곡로31길 79 1층 101~103호,"['육류', '고기요리']",,298
29,뎁트 커피,0.0,서울 강서구 화곡로53길 13 1층 카페 뎁트,"['카페', '디저트']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241115_33%2F1731652951786kTmve_JPEG%2FIMG_4126.jpeg,1165
30,화곡정육식당,0.0,서울 강서구 화곡로 132,['정육식당'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230425_244%2F1682412598331v3M6i_JPEG%2F20230425_174410.jpg,471
31,남도술상 우장산역점,0.0,"서울 강서구 강서로 237 1층 17호, 18호",['요리주점'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240801_210%2F1722495135254lWLqq_PNG%2F%25BD%25BA%25C5%25A9%25B8%25B0%25BC%25A6_2024-08-01_155138.png,696
